payer,payee,amount0,amount1,opcode
14,65,48986,464,1
16,113,63049,101,1
16,215,45286,156,1
42,115,82728,127,1
23,216,28710,333,1
56,217,24450,76,1
218,219,69687,199,1
4,70,32323,75,1
36,220,53016,238,1
221,222,66716,181,1
21,223,39065,268,1
8,224,46623,173,1
225,226,33554,325,1
12,227,22901,350,1
72,228,11178,359,1
36,229,49165,50,1
33,230,20033,286,1
44,231,39709,478,1
65,28,57206,370,1
12,232,76150,131,1
23,233,79203,222,1
234,235,9944,10,1
42,236,76611,211,1
33,237,16109,302,1
21,149,56837,500,1
238,239,15536,466,1
21,240,25292,405,1
44,241,59895,62,1
36,132,20183,167,1
23,59,5093,455,1
27,242,84364,94,1
19,243,10344,415,1
33,175,25844,184,1
23,244,27181,36,1
245,246,60963,308,1
30,247,96281,399,1
27,248,36427,27,1
14,249,86467,497,1
14,250,91269,71,1
161,251,46255,284,1
6,252,10507,394,1
56,253,52689,324,1
30,254,35403,231,1
23,255,36520,499,1
256,212,29851,485,1
257,258,92249,332,1
259,189,36058,197,1
30,260,91876,423,1
23,167,83800,52,1
30,261,70728,115,1
65,262,87217,117,1
72,100,16407,361,1
161,263,2102,293,1
264,265,58686,33,1
30,266,65226,461,1
4,267,67846,181,1
268,96,21825,50,1
44,269,38072,464,1
56,270,40668,420,1
44,255,21187,18,1
21,271,12863,366,1
272,273,83262,126,1
19,274,2839,496,1
4,126,41516,284,1
27,275,67071,152,1
276,277,51097,197,1
19,278,66730,71,1
161,279,17817,307,1
19,280,86923,445,1
30,281,20899,428,1
42,282,90217,37,1
161,283,17444,97,1
44,284,88263,138,1
285,286,59492,233,1
23,287,40431,394,1
16,288,55377,486,1
85,289,82054,402,1
21,290,32842,453,1
0,291,37402,481,1
292,293,6805,102,1
294,240,86152,171,1
19,295,37637,368,1
296,62,46204,221,1
27,206,83285,111,1
12,297,23337,444,1
23,298,60622,106,1
16,299,94789,449,1
8,300,97064,386,1
21,234,82120,59,1
161,301,29071,124,1
6,302,52591,466,1
16,303,61068,60,1
44,181,16315,212,1
65,304,68797,68,1
161,305,34683,495,1
161,178,76281,67,1
12,306,16983,82,1
44,307,33808,460,1
19,308,19920,429,1
30,309,4262,436,1
65,56,1130,105,1
4,14,54338,297,1
16,310,20935,363,1
311,2,44645,52,1
33,312,87119,93,1
72,313,74145,44,1
314,311,29354,330,1
315,316,48767,20,1
14,317,82261,122,1
81,298,37029,96,1
318,239,9613,256,1
319,25,98621,344,1
137,17,49671,310,1
42,143,55751,459,1
320,321,11419,434,1
322,323,557,376,1
30,198,93619,423,1
33,324,94965,68,1
161,325,39730,53,1
6,326,4967,151,1
27,327,66148,135,1
19,141,29056,325,1
12,328,55580,199,1
21,48,98595,50,1
6,329,10939,83,1
6,330,35792,453,1
8,331,93476,204,1
72,332,91013,445,1
56,333,54419,229,1
65,334,7438,188,1
12,126,51912,205,1
19,335,59730,271,1
6,336,695,425,1
337,338,47416,114,1
148,339,52919,181,1
42,340,41676,388,1
16,341,93639,259,1
342,343,90543,380,1
14,344,27790,468,1
345,272,40932,436,1
346,347,94907,262,1
348,349,79064,356,1
161,350,75630,225,1
14,351,24306,194,1
0,72,88769,35,1
27,352,98096,458,1
19,353,39507,449,1
16,208,25338,16,1
14,354,19794,150,1
161,355,73881,377,1
44,69,74783,462,1
19,356,160,231,1
42,76,2573,134,1
44,357,30520,368,1
33,358,44983,249,1
21,224,10953,161,1
14,359,33365,463,1
30,360,66234,159,1
16,361,97114,204,1
362,289,40343,167,1
42,363,25714,50,1
161,364,85589,429,1
21,365,58828,129,1
12,366,19415,167,1
56,367,92542,327,1
36,368,44225,370,1
8,229,36838,120,1
369,370,48639,497,1
232,70,4671,13,1
161,325,24493,470,1
4,371,36323,420,1
36,372,73033,298,1
0,373,71241,181,1
23,33,67841,361,1
14,374,80321,47,1
279,375,34904,159,1
21,376,42338,274,1
49,104,39307,44,1
56,91,57106,460,1
21,268,64095,349,1
30,377,6276,60,1
36,378,33233,466,1
44,379,21239,246,1
4,380,21758,493,1
42,381,93242,460,1
6,382,9845,412,1
65,383,47244,356,1
30,384,75087,495,1
385,386,36705,429,1
387,388,36871,231,1
19,389,12897,196,1
33,38,35974,60,1
13,390,26454,272,1
8,391,33934,226,1
72,90,52006,66,1
21,392,74233,223,1
16,393,95850,414,1
394,395,36758,265,1
12,330,10842,403,1
14,396,11209,37,1
14,397,90690,373,1
36,398,88686,377,1
23,331,93569,411,1
399,400,49221,109,1
0,297,92403,311,1
6,401,6861,143,1
276,42,16494,466,1
23,402,87218,30,1
403,404,67733,457,1
27,405,9223,379,1
36,111,64752,93,1
406,407,70798,452,1
408,409,18447,190,1
44,103,33678,396,1
6,410,4134,223,1
411,412,8960,369,1
21,397,6606,90,1
4,413,28711,35,1
36,346,40296,201,1
8,414,35769,46,1
415,416,88159,173,1
16,417,53769,348,1
36,221,37994,358,1
132,418,33716,274,1
56,419,93077,281,1
14,24,5456,358,1
420,421,2171,213,1
56,422,1724,350,1
36,218,18642,273,1
14,423,97656,11,1
161,424,35194,215,1
65,425,83971,205,1
12,254,82070,468,1
85,426,44831,237,1
23,324,45937,56,1
246,427,52688,288,1
9,428,84902,128,1
4,117,79578,466,1
8,429,9794,256,1
23,31,69567,232,1
0,430,59748,458,1
6,180,3909,112,1
154,1,8529,90,1
21,367,87416,125,1
42,431,27017,416,1
36,432,37722,43,1
12,140,715,333,1
65,433,37117,101,1
27,123,51396,315,1
12,145,75621,240,1
36,170,29597,292,1
16,434,98204,33,1
42,304,80039,296,1
30,176,38110,21,1
65,435,52010,31,1
16,436,25568,172,1
6,39,8084,469,1
44,49,77701,269,1
44,437,72413,421,1
154,294,25637,27,1
23,438,37457,113,1
6,439,77627,219,1
362,440,30495,34,1
42,40,5724,309,1
12,236,97141,209,1
441,442,63430,274,1
443,444,36760,496,1
16,445,95579,37,1
14,55,3237,26,1
72,446,46178,427,1
30,447,33744,274,1
448,378,51328,419,1
449,203,12337,289,1
12,287,64352,467,1
16,409,45695,354,1
19,450,57585,150,1
8,450,96914,219,1
307,451,83083,422,1
161,452,29878,356,1
65,453,13233,482,1
253,405,89759,284,1
0,47,2826,321,1
454,230,22008,404,1
14,229,63994,440,1
56,92,98662,245,1
4,455,52725,444,1
65,456,8630,287,1
151,389,6215,57,1
6,104,57092,246,1
16,372,52226,134,1
161,431,69670,398,1
0,457,37182,309,1
16,458,28727,306,1
65,112,35412,40,1
44,265,48818,249,1
14,1,6209,314,1
161,459,74456,224,1
56,443,97284,462,1
217,460,63227,193,1
30,415,97054,296,1
23,461,4987,111,1
8,462,86179,162,1
8,329,33887,339,1
463,464,62317,305,1
14,465,78308,16,1
117,466,3918,395,1
42,193,47532,479,1
16,467,38788,334,1
468,469,85905,135,1
161,402,365,450,1
56,470,67094,141,1
8,471,98493,286,1
14,472,21077,65,1
14,342,72637,483,1
72,436,396,422,1
473,464,33093,158,1
474,411,12859,146,1
21,475,97526,249,1
72,476,50454,485,1
477,478,24171,17,1
19,479,86282,359,1
42,185,47702,347,1
27,218,58321,116,1
8,192,89860,49,1
16,58,49634,31,1
8,198,82144,414,1
157,38,27888,275,1
42,480,24869,216,1
44,469,1238,179,1
65,481,81596,98,1
65,473,39815,414,1
14,482,39105,247,1
12,483,3445,308,1
30,484,54235,495,1
6,90,81049,131,1
33,485,21399,126,1
21,486,58221,29,1
487,288,86726,320,1
72,488,61698,149,1
36,457,15905,136,1
21,179,99914,14,1
19,399,15224,345,1
72,489,75345,52,1
33,490,71522,395,1
36,392,25925,60,1
19,281,42168,177,1
161,99,80464,83,1
23,491,63172,53,1
21,492,29339,464,1
493,186,6189,497,1
161,460,83001,88,1
234,494,30389,18,1
36,495,56332,223,1
12,332,92224,425,1
36,496,76143,77,1
161,328,41751,390,1
16,154,49069,111,1
161,497,54294,269,1
23,498,47740,417,1
36,499,17471,124,1
14,207,80639,422,1
19,102,75368,341,1
500,258,13331,273,1
14,18,79476,79,1
388,501,94842,21,1
27,423,99260,217,1
19,502,13731,474,1
137,13,29984,113,1
44,503,98339,46,1
30,430,68150,135,1
4,504,23074,463,1
21,505,1237,77,1
16,506,50865,452,1
12,507,21845,224,1
6,287,86655,462,1
23,115,914,221,1
508,285,9555,379,1
21,357,73289,364,1
21,509,61157,90,1
42,21,16011,444,1
21,510,77426,191,1
56,511,12898,344,1
512,374,12447,297,1
8,312,36744,491,1
19,29,19807,203,1
56,513,35258,385,1
8,211,1386,28,1
514,515,5886,201,1
21,256,55458,239,1
161,155,12447,202,1
14,67,45839,191,1
8,516,99655,107,1
0,347,71059,229,1
517,518,28159,497,1
14,147,68947,171,1
0,248,68801,173,1
0,5,98175,21,1
0,519,49626,195,1
21,520,43785,113,1
0,189,30669,358,1
6,521,23262,396,1
44,522,83232,164,1
23,496,5757,239,1
44,523,79855,479,1
19,524,85742,357,1
44,525,85834,116,1
526,353,85595,244,1
527,528,42428,418,1
65,149,73843,249,1
30,49,93791,323,1
529,483,78077,349,1
33,530,62557,158,1
23,325,48675,446,1
531,148,74301,377,1
14,278,64603,356,1
14,221,69182,234,1
4,532,23374,125,1
6,533,48465,28,1
466,36,98707,19,1
0,534,98306,455,1
33,319,26939,148,1
535,536,66447,500,1
56,187,85809,101,1
4,537,40585,79,1
6,517,30786,463,1
72,538,433,269,1
14,539,8678,76,1
56,540,13730,345,1
36,322,61591,60,1
12,296,42735,122,1
12,495,75382,73,1
0,541,85575,483,1
405,451,49671,497,1
27,542,55221,201,1
16,543,63344,438,1
42,544,65514,276,1
23,105,53563,192,1
36,409,45720,367,1
72,519,21791,360,1
42,545,17596,116,1
366,546,80343,417,1
19,547,53897,100,1
65,519,33477,196,1
72,322,45863,371,1
16,548,45160,145,1
21,549,25745,500,1
19,550,21585,344,1
36,551,61120,86,1
161,95,41644,388,1
4,552,30274,403,1
33,553,79324,270,1
19,554,48724,221,1
42,555,34560,256,1
23,556,92814,256,1
166,557,55020,445,1
0,558,14328,85,1
19,296,12233,486,1
56,559,66287,220,1
72,560,77302,500,1
30,213,51189,33,1
27,561,76963,40,1
27,562,15982,156,1
42,563,36588,45,1
19,147,1622,34,1
27,441,71917,472,1
56,564,18788,39,1
161,565,95057,13,1
44,515,91485,195,1
566,439,83532,299,1
72,567,52954,148,1
36,568,66544,150,1
65,321,36111,218,1
72,196,13085,79,1
569,570,13683,82,1
44,550,38772,146,1
42,442,47152,483,1
8,571,56965,399,1
19,572,32618,109,1
16,573,32661,204,1
56,449,76809,334,1
56,34,79164,90,1
16,574,95690,194,1
23,575,97961,99,1
8,31,37978,292,1
16,44,590,374,1
6,576,90330,133,1
21,577,42189,300,1
12,182,27789,362,1
520,245,20454,20,1
36,91,60866,467,1
4,283,17582,27,1
36,84,82796,76,1
6,578,80872,260,1
56,579,32670,203,1
44,241,24711,340,1
107,580,93607,147,1
4,581,63497,69,1
161,582,27512,169,1
583,584,64992,291,1
0,585,38961,11,1
42,516,23542,212,1
36,327,40416,267,1
586,587,52580,390,1
8,588,66136,235,1
56,155,28301,171,1
95,69,59516,233,1
33,589,83376,323,1
14,296,80319,49,1
14,590,23979,95,1
19,275,54247,319,1
44,429,75785,113,1
591,592,19815,242,1
8,156,23248,195,1
14,593,93003,366,1
65,171,88635,188,1
14,594,87102,492,1
56,595,66078,365,1
42,519,49150,419,1
56,132,89109,306,1
27,17,68051,87,1
161,572,93564,184,1
23,596,65718,470,1
597,598,5204,197,1
47,233,36440,339,1
301,106,41474,65,1
56,138,12387,451,1
21,159,41695,148,1
521,599,91819,258,1
19,600,27688,285,1
2,601,94727,271,1
357,602,9640,470,1
540,603,60295,349,1
12,604,97454,116,1
42,118,954,387,1
277,416,90702,207,1
36,518,16028,105,1
19,16,77771,46,1
341,544,24528,17,1
14,164,65910,221,1
12,92,88286,459,1
72,349,42828,239,1
33,605,44836,321,1
72,606,46352,139,1
0,164,58975,105,1
607,608,17634,235,1
609,175,54003,48,1
161,258,79839,238,1
12,610,91290,202,1
14,611,21706,100,1
27,292,11193,172,1
72,612,87569,307,1
44,595,92605,53,1
40,613,57252,154,1
614,20,53201,105,1
19,490,73638,330,1
506,411,89265,123,1
266,468,66649,14,1
16,615,60224,291,1
161,209,91416,468,1
72,383,86350,284,1
42,503,9204,123,1
616,162,28150,389,1
12,597,30054,443,1
16,397,93747,434,1
6,444,4289,360,1
42,617,60263,288,1
36,11,54298,381,1
56,253,46530,303,1
0,337,58243,59,1
382,618,27429,259,1
42,80,97423,145,1
42,619,60484,359,1
4,191,31398,328,1
620,460,73249,299,1
72,621,34770,286,1
4,622,57742,289,1
623,319,41475,407,1
19,624,8982,473,1
72,528,12661,337,1
44,625,55112,293,1
532,277,82632,197,1
23,552,81039,153,1
23,626,22394,409,1
30,463,75419,450,1
65,336,40010,170,1
30,546,88343,136,1
23,627,96157,90,1
27,154,84392,214,1
65,165,70585,256,1
14,332,75242,395,1
4,323,18559,248,1
44,628,4676,491,1
152,415,33609,344,1
12,203,98796,199,1
65,349,76325,10,1
42,629,93427,171,1
56,630,86822,87,1
338,561,200,135,1
631,274,31063,427,1
23,38,1462,58,1
8,579,78993,497,1
630,306,63927,275,1
16,238,28545,67,1
44,632,99311,398,1
12,463,45119,201,1
107,508,77111,430,1
65,163,13461,13,1
4,633,21300,211,1
0,634,23826,34,1
6,325,4087,451,1
23,103,74132,289,1
605,374,32519,447,1
56,411,55784,491,1
23,635,37936,338,1
6,502,26468,395,1
56,636,51829,12,1
637,638,10635,59,1
27,639,89958,273,1
19,640,30800,205,1
6,598,9492,221,1
14,374,21658,485,1
33,641,13781,57,1
14,451,77315,358,1
65,642,1614,86,1
27,463,84184,306,1
56,275,84996,123,1
19,643,97049,16,1
23,190,82824,147,1
8,644,94625,287,1
44,645,77456,180,1
16,564,80871,456,1
23,646,73538,432,1
72,182,6981,123,1
16,47,53398,56,1
27,242,16393,283,1
4,360,89922,479,1
8,616,3939,311,1
56,66,96293,263,1
72,647,71447,246,1
19,220,32384,327,1
30,473,80720,185,1
12,198,82677,51,1
648,423,46520,298,1
23,649,7931,319,1
30,126,79845,237,1
33,18,28712,429,1
21,302,12186,363,1
33,270,47505,43,1
65,454,32368,137,1
27,650,42863,24,1
65,148,67530,28,1
651,340,17398,430,1
8,652,7358,64,1
14,653,52741,442,1
72,227,53448,413,1
223,508,22135,313,1
538,559,52274,263,1
639,654,17953,59,1
44,655,1242,381,1
656,201,17125,500,1
0,657,74352,394,1
13,97,92493,77,1
36,498,87172,180,1
14,416,98958,278,1
161,658,87907,200,1
21,659,99972,465,1
33,387,3394,148,1
8,332,233,245,1
44,168,88768,49,1
14,49,20811,57,1
72,241,61705,350,1
30,660,39213,114,1
27,661,75071,226,1
14,622,50149,56,1
30,427,38963,289,1
65,127,22138,305,1
301,610,72489,449,1
33,184,14212,450,1
65,662,43948,167,1
30,540,76276,20,1
72,146,13037,442,1
16,155,13465,186,1
72,216,43572,79,1
21,207,888,294,1
4,663,99018,68,1
33,210,7165,376,1
19,664,41551,186,1
72,212,75955,100,1
36,665,84502,133,1
36,666,52702,127,1
0,667,61093,362,1
72,157,5273,331,1
4,435,81228,413,1
23,668,12844,419,1
56,669,72052,290,1
4,62,86993,433,1
14,670,92925,18,1
27,224,81040,193,1
502,671,34795,134,1
8,83,15403,349,1
44,279,33813,409,1
42,108,43830,304,1
321,672,41064,138,1
33,515,81922,482,1
27,673,73030,307,1
42,70,12229,42,1
56,416,92655,56,1
14,183,69822,485,1
42,451,59675,125,1
27,345,88085,418,1
161,547,15047,314,1
27,674,75656,196,1
19,382,55080,119,1
16,675,88894,127,1
19,504,84899,123,1
42,595,78860,23,1
4,355,70561,244,1
27,676,49209,144,1
72,677,42668,238,1
6,14,68938,178,1
36,564,83894,164,1
161,33,81777,49,1
65,291,82261,30,1
120,44,72135,383,1
678,443,78721,372,1
23,126,76921,137,1
19,192,9640,401,1
679,680,80270,170,1
36,363,41657,197,1
12,681,19647,334,1
44,14,47088,113,1
42,474,37537,303,1
27,682,66343,420,1
14,683,62096,422,1
437,610,72507,17,1
16,289,55826,309,1
138,684,73812,382,1
21,681,4732,80,1
16,418,26459,271,1
30,49,94305,109,1
21,214,39548,468,1
36,685,99268,392,1
16,95,47245,21,1
56,188,59378,274,1
388,219,51646,478,1
686,392,15065,365,1
27,486,27732,96,1
23,646,8998,344,1
8,348,25943,401,1
65,302,71481,234,1
687,8,18062,365,1
33,688,22772,95,1
689,1,14028,456,1
23,655,82654,393,1
72,657,3361,254,1
6,690,79564,387,1
16,227,66214,251,1
4,691,22064,308,1
36,209,97747,469,1
536,258,10883,278,1
72,692,17234,145,1
36,8,39847,319,1
23,618,81385,142,1
65,693,99401,462,1
444,468,99230,112,1
254,447,76291,289,1
16,381,1691,282,1
56,34,94776,467,1
8,156,67645,431,1
694,19,478,333,1
6,494,24747,371,1
0,271,7341,498,1
33,332,49711,368,1
42,129,10068,288,1
30,517,87746,329,1
593,671,1277,374,1
65,376,10160,426,1
161,46,94251,45,1
56,695,30644,316,1
696,697,79055,303,1
44,576,68481,248,1
27,698,8743,374,1
36,31,80307,108,1
12,108,83217,39,1
14,699,63711,153,1
16,700,23535,208,1
701,591,75178,72,1
652,464,51741,220,1
161,474,43985,492,1
0,268,17477,63,1
8,601,38376,339,1
4,282,15164,101,1
12,447,80768,56,1
14,702,20681,309,1
633,547,60284,152,1
6,267,835,23,1
27,137,81584,58,1
33,703,68295,463,1
6,42,26693,343,1
56,704,84772,255,1
79,705,77197,135,1
27,566,12859,89,1
36,626,94366,77,1
56,138,33107,130,1
161,154,68637,138,1
14,706,90646,369,1
19,116,88311,320,1
161,707,48043,338,1
6,528,32726,419,1
618,378,51711,153,1
708,610,67895,481,1
30,640,10862,345,1
33,498,77918,366,1
0,272,80826,67,1
709,430,30693,496,1
12,160,30745,301,1
21,710,55684,227,1
27,711,17403,19,1
12,712,62036,89,1
42,289,22868,446,1
42,713,11053,127,1
0,102,87268,39,1
4,623,28328,112,1
714,400,2037,47,1
161,581,61484,12,1
56,715,73376,110,1
14,83,65871,54,1
36,64,88368,189,1
72,384,47227,265,1
14,59,21641,171,1
6,458,93562,402,1
36,319,99803,166,1
30,667,93251,220,1
72,191,66768,11,1
56,269,16395,32,1
6,702,13371,155,1
716,326,2058,343,1
717,548,49000,297,1
6,11,40269,271,1
21,305,51138,206,1
161,230,98046,154,1
44,660,33617,210,1
56,408,50539,331,1
550,718,2838,155,1
56,719,81138,61,1
12,579,16655,356,1
720,687,62467,401,1
65,122,90371,486,1
65,456,62492,467,1
6,500,47603,181,1
390,721,49009,10,1
4,623,68908,470,1
16,722,57952,336,1
8,374,44571,389,1
44,723,32536,158,1
157,333,43610,118,1
30,332,4849,447,1
528,374,33664,50,1
59,649,87451,486,1
724,725,38459,307,1
14,726,32474,136,1
23,373,9481,202,1
44,291,70179,89,1
12,264,30610,456,1
27,47,60964,132,1
27,564,1132,198,1
16,727,50982,110,1
30,728,28534,172,1
56,354,11191,190,1
16,323,23701,278,1
21,156,10164,266,1
23,681,73695,73,1
72,601,7784,360,1
42,100,88278,22,1
33,98,19480,181,1
276,389,8372,206,1
517,189,73631,286,1
16,58,3107,116,1
12,253,26112,428,1
16,729,90604,328,1
8,160,29111,456,1
6,386,46816,390,1
14,657,39289,383,1
252,730,82633,48,1
19,687,67059,65,1
56,264,22725,435,1
19,731,4606,72,1
16,339,6604,274,1
72,668,61965,418,1
505,732,42150,146,1
42,653,18303,27,1
733,661,69348,343,1
36,1,61233,456,1
27,362,44918,221,1
33,22,2922,312,1
734,243,50255,294,1
44,436,88673,291,1
42,735,98414,166,1
72,405,44607,58,1
736,737,93005,208,1
72,78,42357,274,1
19,738,15128,217,1
179,449,78562,87,1
21,739,90940,168,1
12,60,1171,223,1
6,254,21167,352,1
6,116,61583,369,1
65,424,41182,260,1
72,282,19165,496,1
65,96,53388,463,1
65,30,49332,411,1
65,740,43999,426,1
12,312,68263,454,1
27,209,38060,141,1
161,741,57406,260,1
16,271,82177,316,1
23,128,95461,493,1
33,374,59275,435,1
4,286,71184,306,1
14,432,12735,302,1
30,695,47062,300,1
8,742,28331,426,1
42,595,52318,32,1
4,743,48722,44,1
19,618,92075,262,1
44,744,73905,249,1
27,745,32984,375,1
21,331,65199,30,1
716,391,83961,257,1
746,494,6373,466,1
42,224,69125,464,1
4,281,31132,343,1
8,420,59027,386,1
56,113,60245,366,1
33,35,78031,93,1
734,747,63007,426,1
6,94,13705,137,1
316,679,20359,242,1
748,89,1071,191,1
16,157,45410,445,1
72,231,88515,166,1
42,749,29311,16,1
700,590,3205,114,1
0,750,10223,492,1
16,411,38539,21,1
42,751,90282,314,1
33,189,34757,22,1
56,253,97803,313,1
752,291,20314,123,1
8,518,10252,323,1
753,335,9638,497,1
6,754,85338,124,1
542,597,66742,428,1
16,619,91043,42,1
6,661,82535,189,1
21,227,49847,388,1
755,195,84495,45,1
21,690,78749,341,1
30,608,40419,38,1
440,756,49085,142,1
540,630,7675,143,1
6,256,19027,488,1
757,758,94656,380,1
12,622,72620,288,1
14,645,20789,234,1
16,759,42544,338,1
23,92,73868,127,1
44,760,97944,226,1
4,409,46439,276,1
518,615,20917,75,1
33,41,90267,304,1
161,308,96062,46,1
161,761,15898,148,1
30,270,43884,171,1
8,391,37684,71,1
12,322,56515,346,1
0,762,54748,351,1
56,54,75055,316,1
42,763,54590,310,1
12,93,99919,471,1
764,765,57536,265,1
56,766,70885,362,1
19,109,39534,168,1
30,767,6713,213,1
21,131,23638,164,1
21,307,73110,221,1
23,546,19883,112,1
21,475,69067,430,1
42,545,14483,107,1
27,11,74285,476,1
0,768,91206,224,1
21,769,72787,492,1
72,177,53353,427,1
72,681,11068,27,1
27,109,32256,76,1
44,166,92632,148,1
44,693,31815,21,1
6,20,39723,122,1
19,475,89082,89,1
352,770,81242,292,1
42,771,1786,276,1
82,57,41417,372,1
12,142,14652,404,1
628,554,21231,29,1
8,400,44887,419,1
16,772,91586,364,1
36,773,8503,393,1
774,775,96107,31,1
12,762,68092,36,1
0,776,2215,327,1
748,110,18159,271,1
4,777,83784,26,1
23,20,25839,95,1
123,778,34527,459,1
21,175,79751,372,1
33,618,83641,204,1
8,737,23044,277,1
0,610,13535,355,1
42,417,6022,390,1
21,690,34247,67,1
4,576,80898,311,1
21,735,10702,314,1
12,764,17232,184,1
0,176,96573,208,1
65,138,91972,96,1
19,37,92074,34,1
44,750,11785,225,1
8,567,19187,15,1
625,385,72928,203,1
16,299,82863,266,1
143,734,68591,493,1
779,721,22744,56,1
44,464,51849,407,1
161,33,16839,322,1
56,105,92600,377,1
56,273,6511,408,1
8,780,17742,247,1
8,80,10058,218,1
344,781,74898,409,1
12,782,96600,381,1
14,783,12455,203,1
16,398,61075,209,1
505,533,60586,134,1
497,8,94761,99,1
8,784,19806,50,1
27,746,6188,276,1
785,636,47143,152,1
16,199,27436,219,1
6,242,45900,265,1
0,240,29196,245,1
0,125,64565,371,1
8,786,7338,228,1
320,226,99277,124,1
8,199,15559,460,1
19,420,32996,325,1
27,766,93986,327,1
72,192,41667,319,1
0,591,65447,494,1
42,158,34138,32,1
56,399,44374,76,1
504,632,95848,275,1
161,787,27410,482,1
19,330,78733,394,1
14,543,77225,359,1
19,206,3583,359,1
65,137,46701,132,1
161,788,23151,263,1
766,120,58908,118,1
12,455,50706,236,1
56,373,83424,395,1
19,729,44074,483,1
44,108,13037,492,1
222,789,45652,187,1
6,52,35640,23,1
33,71,65527,383,1
482,395,12856,76,1
6,680,55351,104,1
27,100,67973,260,1
56,690,93488,106,1
27,251,87145,310,1
14,237,44722,195,1
44,384,80873,287,1
